# Harmony State File
# States: 1398

B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C1-D1 C4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 D1-F1 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E3-E4 F1-F2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 B4-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 C4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D1-D3 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D1-D3 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E3-E4 D2-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B2-B4 D1-D3 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 F2-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E3-E4 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 D2-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 B4-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 D1-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 B2-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E3-E4 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 B6-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B2-C2 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 D1-D2 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C1-D1 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F1-F2 D1-D2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 D1-D3 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 F2-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 D2-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 D1-F1 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 C4-D4 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 E4-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 D1-D3 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 B2-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 A4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 B1-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 B2-F2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 B1-F1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 B1-F1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 D1-D3 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F1-F2 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 C4-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 D1-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F1-F2 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 B2-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 D2-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 A6-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 D1-D2 C4-C5 C5-F5 A4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C4-E4 F2-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 B1-F1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D1-D3 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B1-D1 C4-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B1-D1 A4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C4-E4 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 E4-F4 C4-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 D1-F1 D1-D2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 C4-D4 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B2-B4 D1-D3 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 E4-F4 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 E3-E4 B4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B2-B4 D1-D3 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 C4-C5 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E3-E4 D1-D2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 C4-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 F2-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 C4-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B2-B4 D1-D3 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F1-F2 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 C4-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C4-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 B1-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 B6-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 E4-F4 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E3-E4 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C5-F5 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 D1-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 C3-C5 A3-A6 D1-D2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 B2-F2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 C4-D4 B1-F1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E3-E4 F1-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F1-F2 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D1-D3 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 C4-D4 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 A4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 E4-F4 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 B6-C6 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 E3-E4 D2-D3 B4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B2-C2 A5-E5 C4-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C4 A4-F4 B2-C2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 F2-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 B2-F2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 C6-F6 B6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C3-C4 B1-F1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B2-C2 A5-E5 E2-E3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 A4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B2-B4 D1-D3 C4-C5 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 A3-A6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 B2-C2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 B2-C2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 A6-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C4-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 C3-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 A6-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 B6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C3-C5 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 A5-E5 C4-D4 D1-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 C3-C5 D1-D2 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 E2-E4 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 F2-F4 C4-F4 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B2-B4 D1-D3 C4-E4 C4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C3-C4 F1-F2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B2-C2 A5-E5 D1-D2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C4 A4-F4 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C4 A4-F4 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 B1-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 C4-C6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 D2-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 B4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 C4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D1-D3 C4-C6 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 B4-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E3-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C4-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B2-C2 A5-E5 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C4 A4-F4 D1-D3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 E2-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C5 B1-D1 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C3-C4 D1-F1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C3-C4 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 A3-A6 E4-F4 C3-C4 C6-F6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B2-B6 F2-F4 D2-D3 D1-F1 C4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B2-C2 A5-E5 B4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 B2-C2 A5-E5 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C4 A4-F4 D1-D2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 B4-B6 C3-C4 A4-F4 B2-F2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 E4-F4 F2-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 B2-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B1-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B2-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B4-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 C4-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 C1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B2-C2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B2-F2
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 A4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 C4-D4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 C4-E4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 C4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 E4-F4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 A5-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 A5-E5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 C5-F5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 A6-B6
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 B1-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C4-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 B1-D1
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C1-D1 B1-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C1-D1 B2-B4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C1-D1 C1-C3
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C1-D1 C1-C5
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C1-D1 C3-C4
B5-D5 D6-E6 A1-A4 B1-B3 A1-A2 B1-F1 A3-A6 D2-D3 C6-F6 E2-E3 B6-F6 C1-D1 C4-C5
